sale_id,store_id,product_id,quantity,sale_date,amount
S001,ST01,P001,3,2024-01-05,3897.00
S002,ST02,P002,1,2024-01-06,29999.00
S003,ST03,P003,5,2024-01-07,2995.00
S004,ST04,P004,1,2024-01-08,8999.00
S005,ST05,P005,4,2024-01-09,1396.00
S006,ST01,P006,2,2024-01-10,1798.00
S007,ST02,P007,3,2024-01-11,2397.00
S008,ST03,P008,1,2024-01-12,45999.00
S009,ST04,P009,2,2024-01-13,4998.00
S010,ST05,P010,6,2024-01-14,2694.00
S011,ST01,P001,2,2024-01-15,2598.00
S012,ST02,P003,4,2024-01-16,2396.00
S013,ST03,P005,3,2024-01-17,1047.00
S014,ST04,P006,1,2024-01-18,899.00
S015,ST05,P007,2,2024-01-19,1598.00
S016,ST01,P009,1,2024-01-20,2499.00
S017,ST02,P010,4,2024-01-21,1796.00
S018,ST03,P002,1,2024-01-22,29999.00
S019,ST04,P004,2,2024-01-23,17998.00
S020,ST05,P001,3,2024-01-24,3897.00
S021,ST01,P003,,2024-01-25,1197.00
S022,ST02,P005,2,2024-01-26,
S001,ST01,P001,3,2024-01-05,3897.00
S023,ST03,P007,1,bad-date,799.00
S024,STXX,P001,2,2024-01-28,2598.00
S025,ST04,PXXX,1,2024-01-29,999.00
S026,ST05,P008,1,2024-01-30,50000.00
S027,ST01,P002,2,2024-02-01,55000.00
S028,ST02,P009,3,2024-02-02,7497.00
S029,ST03,P010,5,2024-02-03,2245.00
S030,ST04,P003,4,2024-02-04,2396.00
